TID,Median_Clarity_Score,Parent_Genre,Sub_Genre,Artist_Name,Track_Name
21859,0.164,Rock,Indie-Rock,Paint and Copter,Alchemy Lab
81895,0.233,Experimental,Field Recordings,The Travelling Mongoose,Somewhere in Scotland
126410,0.263,Instrumental,Soundtrack,Blue Dot Sessions,Chase and We Follow
67357,0.463,Pop,Experimental Pop,Pompey,50 Gallon Drum
137167,0.477,Instrumental,New Age,Ars Sonor,Stargazing (Trekanten Mix)
121592,0.486,Pop,Pop,Kurt Baker,Partied Out
146639,0.502,Folk,Psych-Folk,Aglow Hollow,Bob Burns Down
15541,0.559,Experimental,Audio Collage,Ergo Phizmiz,Quixote Daydreams of Dulcinea
40903,0.613,Rock,Rock,James Beaudreau,The Devil is a Sad Spirit
62596,0.636,International,Afrobeat,Tchakare Kanyembe,Tchakare Kanyembe track 09
114556,0.65,Electronic,Electronic,epsilon not,keep the money
53727,0.726,International,Polka,Unza Unza Orkstar,Unza Unza live at Pacific Parc
134826,0.79,Hip-Hop,Hip-Hop,Tha Silent Partner,GoodLookN
94414,0.795,Electronic,Ambient Electronic,Kakurenbo,Kogarashi
144179,0.798,Hip-Hop,Alternative Hip-Hop,Pulso,Jumanji
122356,0.935,Folk,Singer-Songwriter,David Mumford,Wayfaring Stranger
