TID,Median_Clarity_Score,Parent_Genre,Sub_Genre,Track_Name,Artist_Name
67500,0.13,Experimental,Noise,Iced Honey,BOK Darklord
19441,0.6,Pop,Pop,Resolutions (Chris Summer Remix),Entertainment for the Braindead
43695,0.6,International,Middle East,Halay,MWE
73368,0.63,Electronic,Electronic,Flow Of The River,Deltason
124876,0.72,Instrumental,Soundtrack,Fragile Ice,Sergey Cheremisinov
147780,0.74,Electronic,House,Dimension,Creo
32689,0.78,Hip-Hop,Breakbeat,Lazy Groove,transient
148078,0.86,International,Reggae-Dub,All the Nations (Featuring Penti from Senti),Red Star Martyrs
126668,0.93,Rock,Rock,I'll Take Care Of It,Sleep Out
122358,0.95,Folk,Singer-Songwriter,Night Without Sleep,David Mumford
